Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed | H2AH4SerP_Endo_rep2	H2AH4SerP_Endo_rep2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4702896.0	0.0	15-51	41.0	99.64909374023793	50.27921667840412	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AH4SerP_Endo_rep3	H2AH4SerP_Endo_rep3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6753258.0	0.0	15-51	41.0	99.92772576428442	50.41974569903889	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AH4SerP_Mesecto_rep2	H2AH4SerP_Mesecto_rep2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3367688.0	0.0	15-51	40.0	99.86471358184419	50.403111570905615	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AH4SerP_Mesecto_rep3	H2AH4SerP_Mesecto_rep3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1646418.0	0.0	15-51	48.0	99.89057302788348	50.38980258962184	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AUb_Endo_rep2	H2AUb_Endo_rep2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8015683.0	0.0	15-51	42.0	99.92162002362251	50.38995603992822	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AUb_Endo_rep3	H2AUb_Endo_rep3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8107510.0	0.0	15-51	43.0	99.83598794051164	50.31976969501117	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AUb_Mesecto_rep2	H2AUb_Mesecto_rep2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22637315.0	0.0	15-51	43.0	99.91441687130184	50.40806230774277	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2AUb_Mesecto_rep3	H2AUb_Mesecto_rep3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8304503.0	0.0	15-51	42.0	99.84395186463688	50.133711794673324	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2Ax3_Endo_rep2	H2Ax3_Endo_rep2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2437858.0	0.0	15-51	42.0	99.85389383366763	50.09127561982692	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
trimmed | H2Ax3_Endo_rep3	H2Ax3_Endo_rep3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8427542.0	0.0	15-51	45.0	99.80952526519447	50.26475726848943	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
